"taxon_name","accepted_name","ref_author","ref_pubyr","primary_reference","phylum","class","order","family","genus","reference_no","taxon_no","data_enterer","zoobank","ref_language","group","taxon_status","type_locality","type_country","country_reposited","institution_reposited","holotype_number..separate.by...if.multiple.","sp_named_after","sp_language..if.another.language.but.latin.used.","sp_if_person_name","sp_if_person_gender","sp_gender_notes","sp_if_person_country","sp_if_person_country_notes","sp_notes","gen_named_after","gen_language..if.another.language.but.latin.used.","gen_if_person_name","gen_if_person_gender","gen_gender_notes","gen_if_person_country","gen_if_person_country_notes","gen_notes","affiliations_of_authors..separated.by...","countries_of_authors..separated.by...","modified.by","data_from_alternative_source","comments","genus_cleaned","category"
"Abrosaurus dongpoensis","Abrosaurus dongpoensis","Ouyang",1989,"H. Ouyang. 1989. [A new sauropod from Dashanpu, Zigong Co., Sichuan Province (Abrosaurus dongpoensis gen. et sp. nov.)]. Zigong Dinosaur Museum Newsletter 2:10-14","Chordata","Saurischia","NO_ORDER_SPECIFIED","NO_FAMILY_SPECIFIED","Abrosaurus",35971,184288,"William Foster",NA,"Chinese","dinosauria","valid","Dashanpu, Zigong Co., Sichuan Province","China","China","Zigong Dinosaur Museum","ZDM 5033","person","","Su Shi (1037-1101).","male","retrieved from external source","China","retrieved from external source","Species nomenclature Dongpo is the stylized name of the distinguished Northern Sung Dynasty literary scholar from Sichuan named Sushi (1037-1101).","morphological characteristics","","","","","","","The prefix “Abr” indicating delicate or graceful, which is basically the main character of the skull","China","China","",TRUE,"Translated By Will Downs Bilby Research Center Northern Arizona University January, 2001","Abrosaurus","sp"
"Abydosaurus mcintoshi","Abydosaurus mcintoshi","Chure et al.",2010,"D. J. Chure, B. B. Britt, and J. A. Whitlock, J. A. Wilson. 2010. First complete sauropod dinosaur skull from the Cretaceous of the Americas and the evolution of sauropod dentition. Naturwissenschaften","Chordata","Saurischia","NO_ORDER_SPECIFIED","Brachiosauridae","Abydosaurus",32168,163942,"Thomas Halliday","","English","dinosauria","valid","Locality DNM16, WSW of the Carnegie Quarry, Dinosaur National Monument, Utah","USA","USA","Dinosaur National Monument","DINO 16488","person","N/A","Jack McIntosh","male","based on paper","USA","retrieved from external source","For his contributions to Dinosaur National Monument and to the study of sauropod dinosaurs","folklore/religion","Greek","","","","","","Abydos = the Greek name for an Egyptian city, now called El Araba el Madfuna, where Osiris's head and neck were buried. This type specimen is a skull and neck overlooking a river, too.","USA; USA; USA; USA","USA; USA; USA; USA","",FALSE,"","Abydosaurus","sp"
"Acantholipan gonzalezi","Acantholipan gonzalezi","Rivera-Sylva et al.",2018,"H. E. Rivera-Sylva, E. Frey, and W. Stinnesbeck, G. Carbot-Chanona, I. E. Sanchez-Uribe, J. R. Guzman-Gutierrez. 2018. Paleodiversity of Late Cretaceous Ankylosauria from Mexico and their\r\nphylogenetic significance. Swiss Journal of Palaeontology 137(1):83-93","Chordata","Ornithischia","NO_ORDER_SPECIFIED","Nodosauridae","Acantholipan",66935,377304,"Bryan Gee","urn:lsid:zoobank.org:act:4C5F0E44-9C7D-4807-B75B-657091475CFA","","dinosauria","valid","Los Primos locality, south of the town of San Miguel, Municipality of Ocampo, Coahuila","Mexico","Mexico","Colección Paleontológica de Coahuila (CPC) at the Museo del Desierto","CPC 272","person","N/A","Arturo H. Gonzalez González","male","based on paper","Mexico","","""gonzalezi = in honor of Arturo H. Gonzalez Gonza ́lez, for his outstanding support to Mexican paleontology.""","group","Greek; Spanish","","","","","","""Greek (acanthus) = spine; and the Spanish contraction of Le ́pai-Nde ́ (gray people) lipan, a tribe of Apaches from northern Mexico""","Mexico; Germany; Germany; Mexico; Mexico; Mexico","Mexico; Germany; Germany; Mexico; Mexico; Mexico","",FALSE,"","Acantholipan","sp"
"Acanthopholis macrocercus","Acanthopholis macrocercus","Seeley",1869,"H. G. Seeley. 1869. Index to the Fossil Remains of Aves, Ornithosauria, and Reptilia, from the Secondary System of Strata, Arranged in the Woodwardian Museum of the University of Cambridge. Deighton, Bell, and Co, Cambridge","Chordata","Ornithischia","NO_ORDER_SPECIFIED","NO_FAMILY_SPECIFIED","Acanthopholis",14179,56562,"Thomas Halliday","","English","dinosauria","nomen dubium","West Melbury Marly Chalk, Cambridgeshire","UK","UK","Woodwardian Museum (now Sedgwick Museum), Cambridge","SMC B55588-55609","morphological characteristics","Greek","","","","","","""big tail""","morphological characteristics","","","","","","","""Spiny scales""","UK","UK","",FALSE,"All Acanthopholis species probably nomina dubia because material is limited. See Barrett and Bonsor 2020.","Acanthopholis","sp"
"Achelousaurus horneri","Achelousaurus horneri","Sampson",1994,"S. D. Sampson. 1994. Two new horned dinosaurs (Ornithischia: Ceratopsidae) from the Upper Cretaceous Two Medicine Formation, Montana, USA. Journal of Vertebrate Paleontology 14(3, suppl.):44A","Chordata","Ornithischia","NO_ORDER_SPECIFIED","Ceratopsidae","Achelousaurus",14725,53955,"William Foster",NA,"English","dinosauria","valid","Locality--Canyon Bonebed (CBB), Landslide  Butte Field Area, approximately 42 km northwest of Cut Bank, Glacier County, Montana","USA","USA","Museum of  the Rockies","MOR 485","person","","John R. Horner","male","based on paper","USA","retrieved from external source","After John R. Horner, in honor  of his innovative research on the dinosaurs of the Two Medicine Formation, Montana","folklore/religion","Greek","","","","","","Achelous (mythological figure, Greek) + saurus (lizard, Latinized Greek). Achelous is a river god from Greek mythology who was able to transform himself into any shape. In order to combat Heracles (Hercules), Achelous took the form of a bull,  but Heracles won the battle after removing one of Ach-lous' horns. The allusion refers to the apparently tran sitional morphology of the animal as well as to the  ontogenetic and phylogenetic loss of horns characteristic of the genus","Canada","Canada","",FALSE,"","Achelousaurus","sp"
"Acheralichnus leonardii","Acheralichnus leonardii","Cónsole-Gonella et al.",2017,"C. Cónsole-Gonella, S. de Valais, and R. A. Marquillas, M. Cristina Sánchez. 2017. The Maastrichtian–Danian Maimará tracksite (Yacoraite Formation, Salta Group), Quebrada de Humahuaca, Argentina: environments and ichnofacies implications. Palaeogeography, Palaeoclimatology, Palaeoecology 468:327-350","Chordata","Ornithischia","NO_ORDER_SPECIFIED","Hadrosauridae","Acheralichnus",76344,435594,"Thomas Halliday","","Spanish","trace","valid","Quebrada del Acheral, Alemania, Salta","Argentina","","","","","","","","","","","","location/geography","","","","","","","Named for the Quebrada del Acheral","","","",TRUE,"Named in Sanchez Rioja PhD thesis (unavailable), but genus etymology referenced here","Acheralichnus","sp"
"Acheroraptor temertyorum","Acheroraptor temertyorum","Evans et al.",2014,"D. C. Evans, D. W. Larson, and P. J. Currie. 2013. A new dromaeosaurid (Dinosauria: Theropoda) with Asian affinities from the latest Cretaceous of North America. Naturwissenshaften 100:1041-1049","Chordata","Saurischia","Avetheropoda","Dromaeosauridae","Acheroraptor",49049,283586,"William Foster",NA,"English","dinosauria","valid","approximately 45 km southwest of the town of Jordan, Garfield County, MT, USA","USA","Canada","Royal Ontario Museum","ROM 63777","group","N/A","James and Louise","","","Canada","inferred from paper","The specific epithet honors James and Louise Temerty for their outstanding service and contributions to the Royal Ontario Museum","folklore/religion","Greek; Latin","","","","","","The generic name is derived from Acheron, the River of Pain in the underworld of ancient Greek mythology, in reference to the Hell Creek Formation, and Latin raptor, robber, a suffix used in previously named dromaeosaurids. The name Acheron has been deliberately shortened in the combination for euphony.","Canada; Canada; Canada","Canada; Canada; Canada","",FALSE,"","Acheroraptor","sp"
"Achillesaurus manazzonei","Achillesaurus manazzonei","Martinelli and Vera",2007,"A. G. Martinelli and E. I. Vera. 2007. Achillesaurus manzzonei, a new alvarezsaurid theropod (Dinosauria) from the Late Cretaceous Bajo de la Carpa Formation, Río Negro Province, Argentina. Zootaxa 1582:1-17","Chordata","Saurischia","Avetheropoda","Alvarezsauridae","Achillesaurus",28254,133926,"William Foster",NA,"English","dinosauria","valid","Paso Córdova locality, Río Negro Province, Argentina","Argentina","Argentina","Museo Argentino de Ciencias Naturales “Bernardino Rivadavia” (RN, Colección Río Negro), Buenos Aires","MACN-PV-RN 1116","person","N/A","Prof. Rafael Manazzone","male","assumed from ending","Argentina","retrieved from external source","in honor to Prof. Rafael Manazzone, an amateur paleontologist who provided valuable data about Patagonian fossil localities, and assisted to several paleontological field trips. ","folklore/religion","Latin","","","","","","Achilles (Latin), in reference to Achilles’ heel, the weak point of Achilles in the book “Iliad” written by Homer, because the holotype has diagnostic features in this portion of the skeleton","Argentina; Argentina","Argentina; Argentina","",FALSE,"","Achillesaurus","sp"
"Achillobator giganticus","Achillobator giganticus","Perle et al.",1999,"A. Perle, M. A. Norell, and J. M. Clark. 1999. A new maniraptoran theropod—Achillobator giganticus (Dromaeosauridae)—from the Upper Cretaceous of Burkhant, Mongolia. Contributions of the Department of Geology, National University of Mongolia 101:1-105","Chordata","Saurischia","Avetheropoda","Dromaeosauridae","Achillobator",15022,68418,"William Foster/Nussaïbah B. Raja",NA,"English","dinosauria","valid","Burkhant","Mongolia","Mongolia","Mongolia National University","MNUFR-15","size","","","","","","","","folklore/religion","Greek/Mongolian","Achilles","male","based on paper","Ancient Greece","retrieved from external source","The generic name comes from Achilles, a famous ancient Greek warrior of the Trojan War, and the Mongolian word bator (""warrior"" or ""hero""). It refers to the large Achilles tendon needed to use the sickle claw on the foot, which was the major combat organ of dromaeosaurids.","","","",FALSE,"data from online source not paper; Holtz (2007) uses Achilles *tendon* as the reason for the naming.","Achillobator","sp"
"Acristavus gagslarsoni","Acristavus gagslarsoni","Gates et al.",2011,"T. A. Gates, J. R. Horner, and R. R. Hanna, C. R. Nelson. 2011. New unadorned hadrosaurine hadrosaurid (Dinosauria, Ornithopoda) from the Campanian of North America. Journal of Vertebrate Paleontology 31(4):798-811","Chordata","Ornithischia","NO_ORDER_SPECIFIED","Hadrosauridae","Acristavus",38486,205435,"William Foster",NA,"English","dinosauria","valid","14 km southwest of Choteau, Teton County, Montana","USA","USA","Museum of the Rockies, Bozeman, Montana","MOR 1155","person","N/A","Russell Ellsworth Larson","male","assumed from ending","USA","inferred from paper","gagslarsoni from Gags Larson, nickname of landowner Russell Ellsworth Larson, on whose property the specimen was discovered.","in relation to other taxa","Latin","","","","","","A (Latin)-non, crist (Latin)-crest, avus (Latin)- grandfather, in reference to the absence of an osteological nasal crest, its stratigraphic position relative to other hadrosaurid taxa in the Two Medicine Formation, and the primitive nature of the skull.","USA; USA; USA; USA","USA; USA; USA; USA","",FALSE,"","Acristavus","sp"
"Acrocanthosaurus atokensis","Acrocanthosaurus atokensis","Stovall and Langston",1950,"J. W. Stovall and W. Langston, Jr. 1950. Acrocanthosaurus atokensis, a new genus and species of Lower Cretaceous Theropoda from Oklahoma. American Midland Naturalist 43(4):686-728","Chordata","Saurischia","Avetheropoda","Carcharodontosauridae","Acrocanthosaurus",7059,55482,"Thomas Halliday","urn:lsid:zoobank.org:act:63B8F968-2ACB-476E-83DD-0E1FBC5DA8E4","English","dinosauria","valid","Arnold's farm, Atoka County, Oklahoma","USA","USA","Oklahoma Museum of Natural History","OMNH 10146","location/geography","","","","","","","From Atoka County, named after the Choctaw leader Atoka, who was one of the co-signers of the Treaty of Dancing Rabbit Creek, relocating the Choctaw from Mississippi to Oklahoma in the first of the Trails of Tears.","morphological characteristics","Greek","","","","","","""High-spined lizard""","USA; USA","USA; USA","",FALSE,"","Acrocanthosaurus","sp"
"Acrocanthosaurus altispinax","Becklespinax altispinax","Paul",1988,"G. S. Paul. 1988. Predatory Dinosaurs of the World. Simon & Schuster, New York","Chordata","Saurischia","NO_ORDER_SPECIFIED","NO_FAMILY_SPECIFIED","Acrocanthosaurus",10350,NA,"Nussaïbah B. Raja","","","dinosauria","recombined","","","","","","","","","","","","","","morphological characteristics","Greek","","","","","","""High-spined lizard""","","","",FALSE,"duplicate","Acrocanthosaurus","sp"
"Acrotholus audeti","Acrotholus audeti","Evans et al.",2013,"D. C. Evans, R. K. Schott, and D. W. Larson, C. M. Brown, M. J. Ryan. 2013. The oldest North American pachycephalosaurid and the hidden diversity of small-bodied ornithischian dinosaurs. Nature Communications 4:1828","Chordata","Ornithischia","NO_ORDER_SPECIFIED","Pachycephalosauridae","Acrotholus",46763,267729,"William Foster","urn:lsid:zoobank.org:act:D9254894-8009-487F-8490-F3090044EC9C","","dinosauria","valid","southern Alberta, Canada","Canada","Canada","Royal Tyrrell Museum of Palaeontology","TMP 2008.045.0001","person","N/A","Roy Audet","male","assumed from ending","Canada","explicitly stated in paper","The specific epithet honours Roy Audet, for allowing access to his ranch where the holotype skull was found.","morphological characteristics","Greek","","","","","","From the Greek akros, meaning highest, and tholos, meaning dome; in reference to its greatly thickened cranial vault.","Canada; Canada; Canada; Canada; USA","Canada; Canada; Canada; Canada; USA","",FALSE,"","Acrotholus","sp"
"Actiosaurus gaudryi","Actiosaurus gaudryi","Sauvage",1883,"H.-E. Sauvage. 1883. Recherches sur les reptiles trouvés dans l'étage rhétien des environs d'Autun [Research on the reptiles found in the Rhaetian stage of the environs of Autun]. Annales des Sciences Géologiques 14(3):1-44","Chordata","Saurischia","NO_ORDER_SPECIFIED","Anchisauridae","Actiosaurus",46686,268201,"Nussaïbah B. Raja","","French","not a dinosaur","nomen dubium","Antully bonebed, Autun","France","Belgium","Palaeontology collections, Katholieke Universiteit Leuven (K.U. Leuven)","PLV 1937, PLV 1944","person","","Jean-Albert Gaudry","","","","","French palaeontologist","location/geography","","","","","","","""coast lizard""","France","France","",FALSE,"NB - Thought to be an ichthyosaur or choristodere since 1908","Actiosaurus","sp"
"Adamantisaurus mezzalirai","Adamantisaurus mezzalirai","Santucci and Bertini",2006,"R. M. Santucci and R. J. Bertini. 2006. A new titanosaur from western São Paulo State, Upper Cretaceous Bauru Group, south-east Brazil. Palaeontology 49(1):59-66","Chordata","Saurischia","NO_ORDER_SPECIFIED","NO_FAMILY_SPECIFIED","Adamantisaurus",16508,70545,"William Foster",NA,"English","dinosauria","valid","near the city of Flo´rida Paulista (railway between Adamantina and Irapuru´), Sa˜o Paulo, Brazil","Brazil","Brazil","Museu Geolo´ gico Valdemar Lefe`vre, Sa˜o Paulo","MUGEO 1282","person","N/A","Dr Se´rgio Mezzalira","male","assumed from ending","Brazil","inferred from paper","In honour of Dr Se´rgio Mezzalira, the researcher who collected and first mentioned the remains in the literature.","location/geography","","","","","","","From the Adamantina Formation in western Sa˜o Paulo State from which this specimen was collected, and saurus, Greek for lizard.","Brazil; Brazil","Brazil; Brazil","",FALSE,"","Adamantisaurus","sp"
"Adasaurus mongoliensis","Adasaurus mongoliensis","Barsbold",1983,"R. Barsbold. 1983. Khishchnye dinosavry mela Mongoliy [Carnivorous dinosaurs from the Cretaceous of Mongolia]. Transactions of the Joint Soviet-Mongolian Paleontological Expedition 19:1-117","Chordata","Saurischia","Avetheropoda","Dromaeosauridae","Adasaurus",15004,57261,"Thomas Halliday","","Russian","dinosauria","","Bugin-Tsav, Gobi","Mongolia","Mongolia","Mongolian Academy of Sciences (tbc)","PST GIN AN MNR 100/20","location/geography","","","","","","","""From Mongolia""","other","Mongolian","","","","","","""Evil lizard""","Mongolia","Mongolia","",FALSE,"Translated by Siskron and Welles, on Paleoglot","Adasaurus","sp"
"Adelolophus hutchisoni","Adelolophus hutchisoni","Gates et al.",2014,"T. A. Gates, Z. Jinnah, and C. Levitt, M. A. Getty. 2014. New hadrosaurid (Dinosauria, Ornithopoda) specimens from the lower-middle Campanian Wahweap Formation of southern Utah.  In D. A. Eberth & D. C. Evans (ed.), Hadrosaurs","Chordata","Ornithischia","NO_ORDER_SPECIFIED","Hadrosauridae","Adelolophus",54881,318657,"Thomas Halliday","","","dinosauria","valid","Wahweap Formation, Grand Staircase-Escalante National Monument, Utah","USA","USA","University of California Museum of Paleontology, Berkeley","UCMP 152028","person","N/A","Howard Hutchison","","","USA","inferred from paper","""Discoverer of the type specimen and longtime proponent of southern Utah vertebrate paleontology""","morphological characteristics","Greek","","","","","","Named for the *lack* of a skull or crest, ""unknown crest""","USA; South Africa; USA; USA","USA; South Africa; USA; USA","",FALSE,"NB - Zubair Jinnah is employed at Wits in 2021, but there is no information I can find about where he was in 2014.","Adelolophus","sp"
"Adeopapposaurus mognai","Adeopapposaurus mognai","Martínez",2009,"R. N. Martínez. 2009. Adeopapposaurus mognai, gen. et sp. nov. (Dinosauria: Sauropodomorpha), with comments on adaptations of basal Sauropodomorpha. Journal of Vertebrate Paleontology 29(1):142-164","Chordata","Saurischia","NO_ORDER_SPECIFIED","Massospondylidae","Adeopapposaurus",29824,146362,"Thomas Halliday","","English","dinosauria","valid","Upper Pelitic Member of Canon del Colorado Formation, SW Sierra de Mogna, San Juan","Argentina","Argentina","Instituto y Museo de Ciencias Naturales, Universidad Nacional de San Juan","PVSJ 610","location/geography","","","","","","","Named after the Sierra de Mogna locality","morphological characteristics","","","","","","","""Adeo"" = ""far""; ""pappo"" = ""eating""; ""saurus"" = lizard, in reference to the long neck","Argentina","Argentina","",FALSE,"","Adeopapposaurus","sp"
